lat,long,delta_long,delta_lat
29.7,-172.8,-0.915046236652548,0.143475253741286
30.7,-172.8,-0.867012518761782,0.128388723774429
31.7,-172.8,-0.818924894191826,0.113232481187301
32.7,-172.8,-0.77077630017891,0.098020370742915
33.7,-172.8,-0.722559673959268,0.082766237204287
34.7,-172.8,-0.674267952769132,0.0674839253344315
35.7,-172.8,-0.625894073844734,0.052187279896363
36.7,-172.8,-0.577430974422307,0.0368901456530965
37.7,-172.8,-0.528871591738083,0.0216063673676465
38.7,-172.8,-0.480208863028294,0.00634978980302774
39.7,-172.8,-0.431435725529173,-0.00886574227774484
40.7,-172.8,-0.382545116476952,-0.0240263841116568
41.7,-172.8,-0.333529973107863,-0.0391182909356931
42.7,-172.8,-0.284383232658139,-0.0541276179868393
43.7,-172.8,-0.235097832364013,-0.0690405205020806
44.7,-172.8,-0.185666709461716,-0.0838431537184021
45.7,-172.8,-0.136082801187481,-0.0985216728727893
46.7,-172.8,-0.0863390447775405,-0.113062233202227
47.7,-172.8,-0.0364283774681267,-0.127450989943702
48.7,-172.8,0.0136562635045279,-0.141674098334197
49.7,-172.8,0.063921940904191,-0.155717713610699
29.7,-171.8,-0.925873973876137,0.148452628638953
30.7,-171.8,-0.877876822402156,0.13331337219625
31.7,-171.8,-0.829823956343862,0.118110699632316
32.7,-171.8,-0.781708423174492,0.102857966982752
33.7,-171.8,-0.733523270367284,0.0875685302831624
34.7,-171.8,-0.685261545395476,0.0722557455691487
35.7,-171.8,-0.636916295732304,0.0569329688763135
36.7,-171.8,-0.588480568851008,0.0416135562402596
37.7,-171.8,-0.539947412224823,0.0263108636965893
38.7,-171.8,-0.491309873326989,0.0110382472809052
39.7,-171.8,-0.442560999630742,-0.00419093697119
40.7,-171.8,-0.393693838609321,-0.019363333024094
41.7,-171.8,-0.344701437735962,-0.034465584842204
42.7,-171.8,-0.295576844483904,-0.0494843363899178
43.7,-171.8,-0.246313106326384,-0.0644062316316325
44.7,-171.8,-0.19690327073664,-0.0792179145317458
45.7,-171.8,-0.147340385187909,-0.093906029054655
46.7,-171.8,-0.0976174971534287,-0.108457219164758
47.7,-171.8,-0.0477276541064373,-0.122858128826451
48.7,-171.8,0.00233609647982774,-0.137095402004133
49.7,-171.8,0.0525807071321291,-0.151155682662201
29.7,-170.8,-0.936650172900385,0.153792544695358
30.7,-170.8,-0.888751103665945,0.138541117449424
31.7,-170.8,-0.840790281241149,0.123232850164552
32.7,-170.8,-0.79276116363801,0.10788072995887
33.7,-170.8,-0.744657208868542,0.0924977439505052
34.7,-170.8,-0.69647187494476,0.0770968792575876
35.7,-170.8,-0.648198619878678,0.0616911229982451
36.7,-170.8,-0.59983090168231,0.0462934622906065
37.7,-170.8,-0.551362178367669,0.0309168842528001
38.7,-170.8,-0.50278590794677,0.0155743760029545
39.7,-170.8,-0.454095548431627,0.000278924659198293
40.7,-170.8,-0.405284557834254,-0.0149564826603401
41.7,-170.8,-0.356346394166665,-0.0301188588375321
42.7,-170.8,-0.307274515440875,-0.0451952167542491
43.7,-170.8,-0.258062379668896,-0.0601725692923627
44.7,-170.8,-0.208703444862744,-0.0750379293337443
45.7,-170.8,-0.159191169034432,-0.0897783097602654
46.7,-170.8,-0.109519010195975,-0.104380723453797
47.7,-170.8,-0.0596804263593856,-0.118832183296212
48.7,-170.8,-0.00966887553667917,-0.13311970216938
49.7,-170.8,0.0405221842601307,-0.147230292955174
29.7,-169.8,-0.947353964477955,0.159455004226448
30.7,-169.8,-0.899603732453927,0.144041799611823
31.7,-169.8,-0.851782396440264,0.128578579814451
32.7,-169.8,-0.803884055525957,0.113078061496079
33.7,-169.8,-0.755902808799995,0.0975529613184567
34.7,-169.8,-0.707832755351369,0.0820159959433328
35.7,-169.8,-0.659667994269068,0.066479882032456
36.7,-169.8,-0.611402624642083,0.0509573362475751
37.7,-169.8,-0.563030745559403,0.035461075250439
38.7,-169.8,-0.51454645611002,0.0200038157027965
39.7,-169.8,-0.465943855382922,0.00459827426639652
40.7,-169.8,-0.4172170424671,-0.0107428323970123
41.7,-169.8,-0.368360116451545,-0.026006787625681
42.7,-169.8,-0.319367176425245,-0.0411808747578608
43.7,-169.8,-0.270232321477192,-0.0562523771318028
